;FESTWERT;WERT
204;C_AdaPa_PotentialLightAcceleration_i16;-1.0
205;C_AdaPa_PotentialLightBraking_i16;-1.0
206;C_AdaPa_PotentialOperatingExteriorMirror_i16;3.0
207;C_AdaPa_PotentialOperatingFASButtons_i16;1.0
208;C_AdaPa_PotentialOperatingHighBeam_i16;-2.0
209;C_AdaPa_PotentialOperatingMedia_i16;1.0
210;C_AdaPa_PotentialOperatingSeatAdjustment_i16;3.0
211;C_AdaPa_PotentialOperatingWiperLever_i16;-1.0
212;C_AdaPa_PotentialOperationMenu_i16;2.0
213;C_AdaPa_PotentialOverrideLongitudinalControl_i16;-2.0
214;C_AdaPa_PotentialStrongAcceleration_i16;-3.0
215;C_AdaPa_PotentialStrongSteeringMovements_i16;-3.0
216;C_AdaPa_RestAreaNavBreakNotification_bln;0.0
217;C_AdaPa_RestAreaNavELAMsg1_bln;0.0
218;C_AdaPa_RestAreaNavELAMsg2_bln;0.0
219;C_AdaPa_RestAreaNavELAMsg3_bln;0.0
220;C_AdaPa_RestAreaResetTime_u16;20.0
221;C_AdaPa_SensorDetectionDebounceTimeMFK_u8;10.0
222;C_AdaPa_SignalErrorDuration_f32;5.0
223;C_AdaPa_SignalInitDuration_f32;5.0
224;C_AdaPa_SignalNeverReceivedDuration_f32;5.0
225;C_AdaPa_SignalOutOfRangeDuration_f32;5.0
226;C_AdaPa_SignalTimeoutDuration_f32;5.0
227;C_AdaPa_SignalValidDuration_f32;5.0
228;C_AdaPa_SteeringAngleEMADecay_f32;0.005
229;C_AdaPa_SteeringAngleEMATime_f32;0.1
230;C_AdaPa_SteeringAngleSpeedEMADecay_f32;0.005
231;C_AdaPa_SteeringAngleSpeedEMATime_f32;0.1
232;C_AdaPa_SteeringMinimumEvalTime_u16;600.0
233;C_AdaPa_SteeringMomentEMADecay_f32;0.005
234;C_AdaPa_SteeringMomentEMATime_f32;0.1
235;C_AdaPa_TLCMinSpeed_f32;90.0
236;C_AdaPa_TLCPreDebounceTicks_u16;1200.0
237;C_AdaPa_TestMsgWaitTimeToAbort_u16;100.0
238;C_AdaPa_TestMsgWaitTimeToSwitchLevel_u16;100.0
239;C_AdaPa_ThresholdDriverChangeVehicleSpeed_f32;25.0
240;C_AdaPa_ThresholdSharpLeftTurn_f32;-70.0
241;C_AdaPa_ThresholdSharpRightTurn_f32;70.0
242;C_AdaPa_ThresholdSpeedELASteeringDetection_f32;60.0
243;C_AdaPa_ThresholdSteeringInactivityPeriod_f32;0.3
244;C_AdaPa_ThresholdTlcCntIncludeInELA_u32;900.0
245;C_AdaPa_ThresholdUSSDMQual_u8;70.0
246;C_AdaPa_TimVehPowStatOffInSec_u16;120.0
247;C_AdaPa_TimeAttentionCheckMs_u32;300.0
248;C_AdaPa_TimeSteeringInactivityPeriodQualMs_u32;1000.0
249;C_AdaPa_TimeWindowDtlInTicks_u16;200.0
250;C_AdaPa_TimeWindowTlcCntInTicks_u16;3600.0
251;C_AdaPa_VehicleSpeedEMADecay_f32;0.002
252;C_AdaPa_VehicleSpeedEMATime_f32;0.1
253;C_AdaPa_WeightedEventRateNormFactor_u16;500.0
254;C_AdaPa_YawRateEMADecay_f32;1.0
255;C_AdaPa_YawRateEMATime_f32;0.1
