100;ELASensitivitySetting;1
101;ELAAcousticNotifSetting;1
102;EKAAcousticNotifSetting;1
103;AdjSensorDetectionMFK;0
107;FktConfigTestMsg;0
110;FktConfigBreakNotif;0
111;FktConfigEKAErrorMsgNotActive;0
112;FktConfigEKAErrorMsgNotAvailable;0
113;FktConfigEKAErrorMsgLimitedAvailable;0
114;FktConfigELAErrorMsgNotActive;0
115;FktConfigELAErrorMsgNotAvailable;0
116;FktConfigELAErrorMsgLimitedAvailable;0
122;AdjRestAreaNavOnOff;0
123;RestAreaNavFactorySettings;0
124;FktConfigRestAreaNavOnDriverChange;0
125;FktConfigRestAreaNavKL15On;0
126;FktConfigRestAreaNavDisplay;0
138;DSStatus;2
139;ELAFASAdaptSetting;1
140;ELAFASAdaptHMISettings;1
141;EKAFASAdaptSetting;1
142;EKAFASAdaptHMISettings;1
143;EKASensitivityHMISettings;1
144;ELASensitivityHMISettings;1
145;ELAAcousticNotifHMISettings;1
146;EKAAcousticNotifHMISettings;1
147;ELAMsgHMISettings;1
148;EKAMsgHMISettings;1
226;AdjELAFASAdaptOnOff;0
227;ELAFASAdaptFactorySettings;0
228;FktConfigELAFASAdaptOnDriverChange;0
229;FktConfigELAFASAdaptKL15On;0
230;FktConfigELAFASAdaptDisplay;0
231;AdjEKAFASAdaptOnOff;0
232;EKAFASAdaptFactorySettings;0
233;FktConfigEKAFASAdaptOnDriverChange;0
234;FktConfigEKAFASAdaptKL15On;0
235;FktConfigEKAFASAdaptDisplay;0
236;AdjEKASensitivity;1
237;EKASensitivityFactorySettings;1
238;FktConfigEKASensitivityOnDriverChange;0
239;FktConfigSensitivityEKAKL15On;0
240;FktConfigSensitivityEKADisplay;0
241;AdjELASensitivity;1
242;ELASensitivityFactorySettings;1
243;FktConfigELASensitivityOnDriverChange;0
244;FktConfigSensitivityELAKL15On;0
245;FktConfigSensitivityELADisplay;0
246;ELAAcousticNotifFactorySettings;0
247;AdjELAAcousticNotifOnOff;0
248;FktConfigELAAcousticNotifOnDriverChange;0
249;FktConfigELAAcousticNotifKL15On;0
250;FktConfigELAAcousticNotifDisplay;0
251;EKAAcousticNotifFactorySettings;0
252;AdjEKAAcousticNotifOnOff;0
253;FktConfigEKAAcousticNotifOnDriverChange;0
254;FktConfigEKAAcousticNotifKL15On;0
255;FktConfigEKAAcousticNotifDisplay;0
281;ELAMsgFactorySettings;0
282;FktConfigMsgELADisplay;0
283;FktConfigMsgKL15OnELA;0
284;FktConfigMsgOnDriverChangeELA;0
285;FktConfigFASAdaptEKAMsgOnOff;0
286;FktConfigFASAdaptELAMsgOnOff;0
287;AdjELAMsgOnOff;0
288;AdjEKAMsgOnOff;0
380;DiagRoutineBreakNotifMsg;0
381;DiagRoutineELAStatusDisplayError;0
382;DiagRoutineELAStatusDisplayOff;0
383;DiagRoutineELAMsg3;0
384;DiagRoutineELAMsg2;0
385;DiagRoutineELAMsg1;0
386;DiagRoutineELACascadeMsg;0
387;DiagRoutineEKAStatusDisplayError;0
388;DiagRoutineEKAStatusDisplayOff;0
389;DiagRoutineEKAMsg3;0
390;DiagRoutineEKAMsg2;0
391;DiagRoutineEKAMsg1;0
392;DiagRoutineEKACascadeMsg;0

